"",C0170,C0180
R0100,77 612 796,77 612 796
R0160,19 639,7 722 231
R0170,2 241,7 575 654
R0180,31 070,9 900 512
R0190,30 553,7 800 800
R0200,76 822,8 293 613
R0210,163 486,9 570 056
R0220,420 929,10 605 371
R0230,931 232,10 002 406
R0240,3 281 096,10 674 073
R0250,6 442 470,6 442 470
R0260,89 012 334,166 199 982
