"",C0020,C0030,C0040,C0050,C0060,C0070,C0080,C0090,C0100
R0320,8 243,2 357 324,0,6 680 858,1 399 687,10 839,3 986 224,3 191 047,702
R0330,-168,1 640 203,0,3 147 238,18 554,-2 712,1 696 409,886 204,
R0340,8 411,717 121,0,3 533 620,1 381 133,13 551,2 289 815,2 304 843,702
