"",C0100
R0110,17 808 383
R0060,-6 908 574
R0160,0
R0200,10 899 809
R0210,0
R0220,10 899 809
R0300,-1 087 237
R0310,-2 155 249
R0400,0
R0410,0
R0420,0
R0430,0
R0440,0
