"",C0010
R0030,0
R0040,0
R0050,0
R0060,4 584 666
R0070,76 380 091
R0080,0
R0090,11 567 087
R0100,304 504
R0110,175 366
R0120,129 138
R0130,54 892 172
R0140,48 571 475
R0150,6 320 697
R0160,0
R0170,0
R0180,6 830 128
R0190,95 571
R0200,2 690 199
R0210,430
R0220,8 719 338
R0230,2 519 644
R0240,0
R0250,0
R0260,2 519 644
R0270,7 060 299
R0280,7 826 676
R0290,6 186 640
R0300,1 640 035
R0310,-766 048
R0320,-274 910
R0330,-491 138
R0340,-329
R0350,0
R0360,2 106 258
R0370,362 067
R0380,1 552 126
R0390,0
R0400,0
R0410,3 013 807
R0420,180 909
R0500,106 479 205
