"",C0010,C0020,C0030,C0040,C0050,C0060,C0070,C0080,C0090
R0110,195 830,6 564 496,7 320 908,4 761 739,4 477 960,112 307,6 392 726,2 318 514,29
R0120,0,0,0,600,4 350,5 255,309 600,96 016,0
R0130,,,,,,,,,
R0140,3 427,2 772 546,0,2 372 323,23 287,51 616,2 349 594,414 300,0
R0200,192 403,3 791 949,7 320 908,2 390 015,4 459 023,65 946,4 352 732,2 000 229,29
R0210,203 815,6 567 981,7 320 908,4 727 245,4 445 791,113 515,6 373 298,2 298 480,56
R0220,0,0,0,403,4 568,5 161,310 813,94 384,0
R0230,,,,,,,,,
R0240,3 427,2 772 546,0,2 354 496,23 813,53 277,2 394 736,420 271,0
R0300,200 388,3 795 435,7 320 908,2 373 152,4 426 546,65 399,4 289 376,1 972 593,56
R0310,224,3 056 065,4 030 897,2 528 860,2 242 836,26 853,2 912 299,1 106 525,300
R0320,0,0,0,0,73,-21 084,54 405,34 665,0
R0330,,,,,,,,,
R0340,0,1 224 260,0,1 293 966,-845,-9 204,881 211,216 778,-2
R0400,224,1 831 805,4 030 897,1 234 894,2 243 754,14 974,2 085 493,924 413,302
R0410,0,-112 989,0,0,0,0,0,0,0
R0420,0,0,0,0,0,0,0,0,0
R0430,,,,,,,,,
R0440,0,0,0,0,0,0,0,0,0
R0500,0,-112 989,0,0,0,0,0,0,0
R0550,3 428,428 164,79 085,762 574,1 622 332,20 261,2 027 626,808 991,26
R1200,,,,,,,,,
R1300,,,,,,,,,
