"",C0110,C0120,C0130,C0140,C0150,,C0160,C0170,,C0180
R0320,1 102,143 691,517 134,0,,0,0,,0,18 296 851
R0330,0,-1 123,442 070,0,,0,0,,0,7 826 676
R0340,1 102,144 813,75 064,0,,0,0,,0,10 470 175
